File ID,G,theta
1,-0.000013,0.513297
2,-0.000022,0.522441
3,-0.000004,0.504107
4,-0.000017,0.517288
5,0.017591,0
6,0.000038,0.460707
7,0.000012,0.487983
8,0.000008,0.492013
9,0.000022,0.477258
10,0.000019,0.480869
11,0.000021,0.478461
12,-0.000003,0.502939
13,0.000012,0.487682
14,0.000084,0.414965
15,0.000008,0.492051
16,0.000076,0.422411
17,0.000015,0.484444
18,-0.043093,1
19,0,0.499548
20,-0.002278,0.999912
21,0.000023,0.476769
22,0.003167,2.00E-06
23,-0.002691,0.999984
24,-0.004224,1
25,-0.003518,0.999999
26,0.000058,0.441194
27,-0.000928,0.978266
28,-0.003958,1
29,-0.000553,0.906187
30,0.010263,0
31,-0.00036,0.814073
32,-0.002678,0.999983
33,-0.00068,0.941986
34,-0.001758,0.999262
35,-0.002269,0.999909
36,-0.002111,0.999826
37,-0.000669,0.939439
38,-0.000913,0.976905
39,-0.000444,0.860822
40,-0.001352,0.996109
41,0.02371,0
42,0.003587,0
43,-0.00026,0.743634
44,0.000072,0.426683
